transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g
False,A.J. Erdely,2017,QB,uab,JR,13,338,205,60.7,2331,6.9,16,4,131.83,26.0,179.3,a.j._erdely_uab,122,326,2.67,13,9.38,25.08
False,A.J. Erdely,2018,QB,uab,SR,9,198,111,56.1,1539,7.8,7,7,125.95,22.0,171.0,a.j._erdely_uab,84,257,3.06,5,9.33,28.56
False,AJ Bianco,2023,QB,nevada,FR,8,82,45,54.9,614,7.5,4,5,121.68,10.3,76.8,aj_bianco_nevada,42,183,4.36,1,5.25,22.88
False,AJ Bush,2017,QB,virginia_tech,JR,5,11,7,63.6,99,9.0,1,0,169.24,2.2,19.8,aj_bush_virginia_tech,19,129,6.79,0,3.80,25.80
False,AJ Bush Jr.,2018,QB,illinois,SR,10,217,117,53.9,1413,6.5,6,10,108.52,21.7,141.3,aj_bush_jr._illinois,138,733,5.31,8,13.80,73.30
False,AJ Duffy,2022,QB,florida_state,FR,3,7,2,28.6,26,3.7,1,0,106.91,2.3,8.7,aj_duffy_florida_state,1,5,5.00,0,0.33,1.67
False,AJ Mayer,2020,QB,miami_ohio,SO,3,49,23,46.9,328,6.7,4,1,126.03,16.3,109.3,aj_mayer_miami_ohio,7,1,0.14,0,2.33,0.33
True,AJ Mayer,2021,QB,miami_ohio,SO,7,125,68,54.4,946,7.6,6,2,130.61,17.9,135.1,aj_mayer_miami_ohio,26,89,3.42,1,3.71,12.71
False,AJ Mayer,2022,QB,arkansas_state,JR,9,39,19,48.7,214,5.5,2,1,106.6,4.3,23.8,aj_mayer_arkansas_state,32,169,5.28,2,3.56,18.78
False,AJ Padgett,2022,QB,rice,FR,3,77,39,50.6,634,8.2,5,1,138.65,25.7,211.3,aj_padgett_rice,30,14,0.47,0,10.00,4.67
False,AJ Padgett,2023,QB,rice,FR,6,117,71,60.7,721,6.2,8,6,124.75,19.5,120.2,aj_padgett_rice,32,14,0.44,2,5.33,2.33
False,AJ Swann,2022,QB,vanderbilt,FR,9,198,115,58.1,1274,6.4,10,2,126.78,22.0,141.6,aj_swann_vanderbilt,21,-76,-3.62,0,2.33,-8.44
False,AJ Swann,2023,QB,vanderbilt,SO,6,196,107,54.6,1457,7.4,12,7,130.1,32.7,242.8,aj_swann_vanderbilt,27,16,0.59,1,4.50,2.67
False,Aaron Allen,2018,QB,louisiana_tech,FR,2,6,3,50.0,47,7.8,1,1,137.47,3.0,23.5,aaron_allen_louisiana_tech,2,-6,-3.00,0,1.00,-3.00
False,Aaron Allen,2019,QB,louisiana_tech,FR,6,75,43,57.3,446,5.9,3,1,117.81,12.5,74.3,aaron_allen_louisiana_tech,13,3,0.23,0,2.17,0.50
False,Aaron Allen,2020,QB,louisiana_tech,SO,10,121,73,60.3,602,5.0,4,8,99.81,12.1,60.2,aaron_allen_louisiana_tech,17,-10,-0.59,0,1.70,-1.00
False,Aaron Allen,2021,QB,louisiana_tech,SO,7,77,50,64.9,620,8.1,2,4,130.76,11.0,88.6,aaron_allen_louisiana_tech,12,-6,-0.50,0,1.71,-0.86
False,Aaron Winchester,2016,QB,georgia_state,FR,6,45,24,53.3,271,6.0,1,2,102.35,7.5,45.2,aaron_winchester_georgia_state,49,204,4.16,1,8.17,34.00
False,Aaron Winchester,2017,QB,georgia_state,SO,6,9,6,66.7,102,11.3,1,1,176.32,1.5,17.0,aaron_winchester_georgia_state,21,79,3.76,0,3.50,13.17
False,Aaron Winchester,2018,QB,georgia_state,JR,6,57,31,54.4,348,6.1,3,1,119.53,9.5,58.0,aaron_winchester_georgia_state,32,122,3.81,2,5.33,20.33
