name,team_name,season,g,g_diff,passing_rating,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,passing_td_yoy_change,transfer,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change,transferred_next_year
A.J. Erdely,uab,2017,13,0.0,131.83,1.0,2,26.0,0.99,0.62,0.0,1.0,-0.01,0.14,0.17,0.04,0,460,2657,5.78,204.4,0.13,0.17,0.01,0.08,0
A.J. Erdely,uab,2018,9,-4.0,125.95,0.5,1,22.0,0.59,0.79,0.28,1.0,-0.04,-0.41,-0.34,-0.56,0,282,1796,6.37,199.6,-0.39,-0.32,0.1,-0.02,0
AJ Bianco,nevada,2023,8,0.0,121.68,1.0,2,10.25,0.24,0.17,0.0,2.0,0.02,0.13,0.16,0.45,0,124,797,6.43,99.6,0.13,0.09,0.01,0.07,0
AJ Bianco,nevada,2024,2,-6.0,217.6,1.0,2,1.5,0.02,0.33,1.0,2.0,0.79,-0.96,-0.93,-1.0,0,3,42,14.0,21.0,-0.98,-0.95,1.18,-0.79,0
AJ Bush,virginia_tech,2017,5,0.0,169.24,0.67,2,2.2,0.03,0.69,0.0,2.0,-0.01,0.14,0.17,0.04,0,30,228,7.6,45.6,0.13,0.17,0.01,0.08,0
AJ Bush Jr.,illinois,2018,10,0.0,108.52,1.0,3,21.7,0.67,0.33,0.0,1.0,-0.0,0.31,0.33,0.49,0,355,2146,6.05,214.6,0.25,0.27,0.01,0.06,0
AJ Duffy,florida_state,2022,3,0.0,106.91,0.25,3,2.33,0.02,0.77,0.0,3.0,-0.03,0.29,0.26,0.29,0,8,31,3.88,10.3,0.2,0.21,-0.04,0.11,0
AJ Duffy,florida_state,2023,1,-2.0,127.31,0.67,3,12.38,0.2,0.93,0.21,2.0,0.02,0.13,0.16,0.45,0,3,5,1.67,5.0,-0.62,-0.84,-0.57,-0.51,0
AJ Mayer,miami_ohio,2019,3,0.0,127.31,0.67,2,12.38,0.2,0.57,0.0,2.0,0.0,0.38,0.32,0.33,0,3,-11,-3.67,-3.7,0.32,0.27,0.01,0.15,0
AJ Mayer,miami_ohio,2020,3,0.0,126.03,0.67,2,16.33,0.58,0.67,0.17,1.0,-0.01,0.0,-0.02,-0.12,0,56,329,5.88,109.7,17.67,-30.91,-2.6,-30.65,0
AJ Mayer,miami_ohio,2021,7,4.0,130.61,0.5,2,17.86,0.29,0.54,-0.19,2.0,0.04,1.55,1.88,0.5,1,151,1035,6.85,147.9,1.7,2.15,0.16,0.35,1
AJ Mayer,arkansas_state,2022,9,2.0,106.6,0.67,2,4.33,0.1,0.25,0.0,2.0,-0.18,-0.69,-0.77,-0.67,0,71,383,5.39,42.6,-0.53,-0.63,-0.21,-0.71,0
AJ Padgett,rice,2022,3,0.0,138.65,1.0,3,25.67,0.19,0.38,0.0,2.0,-0.03,0.29,0.26,0.29,0,107,648,6.06,216.0,0.2,0.21,-0.04,0.11,0
AJ Padgett,rice,2023,6,3.0,124.75,0.75,3,19.5,0.27,0.46,0.2,2.0,-0.1,0.52,0.14,0.6,0,149,735,4.93,122.5,0.39,0.13,-0.19,-0.43,0
AJ Swann,vanderbilt,2022,9,0.0,126.78,0.5,1,22.0,0.57,0.42,0.0,1.0,-0.03,0.29,0.26,0.29,0,219,1198,5.47,133.1,0.2,0.21,-0.04,0.11,0
AJ Swann,vanderbilt,2023,6,-3.0,130.1,1.0,2,32.67,0.5,0.17,-0.6,1.0,0.03,-0.01,0.14,0.2,0,223,1473,6.61,245.5,0.02,0.23,0.21,0.84,0
Aaron Allen,louisiana_tech,2018,2,0.0,137.47,1.0,2,3.0,0.01,0.62,0.0,3.0,-0.0,0.31,0.33,0.49,0,8,41,5.13,20.5,0.25,0.27,0.01,0.06,0
Aaron Allen,louisiana_tech,2019,6,4.0,117.81,0.67,2,12.5,0.16,0.77,0.25,2.0,-0.14,11.5,8.49,2.0,0,88,449,5.1,74.8,10.0,9.95,-0.01,2.65,0
