transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses
False,A.J. Erdely,2017,QB,uab,3,13,338.0,205.0,60.7,2331.0,6.9,16.0,4.0,131.83,26.0,179.3,a.j._erdely_uab,122.0,326.0,2.67,13.0,9.38,25.08,326,2331,460,2657,5.78,204.4,8,5
False,A.J. Erdely,2018,QB,uab,4,9,198.0,111.0,56.1,1539.0,7.8,7.0,7.0,125.95,22.0,171.0,a.j._erdely_uab,84.0,257.0,3.06,5.0,9.33,28.56,257,1539,282,1796,6.37,199.6,11,3
False,AJ Bianco,2023,QB,nevada,1,8,82.0,45.0,54.9,614.0,7.5,4.0,5.0,121.68,10.3,76.8,aj_bianco_nevada,42.0,183.0,4.36,1.0,5.25,22.88,183,614,124,797,6.43,99.6,2,10
False,AJ Bianco,2024,QB,nevada,2,2,3.0,3.0,100.0,42.0,14.0,0.0,0.0,217.6,1.5,21.0,aj_bianco_nevada,,,,,,,0,42,3,42,14.00,21.0,2,4
False,AJ Bush,2017,QB,virginia_tech,3,5,11.0,7.0,63.6,99.0,9.0,1.0,0.0,169.24,2.2,19.8,aj_bush_virginia_tech,19.0,129.0,6.79,0.0,3.80,25.80,129,99,30,228,7.60,45.6,9,4
False,AJ Bush Jr.,2018,QB,illinois,4,10,217.0,117.0,53.9,1413.0,6.5,6.0,10.0,108.52,21.7,141.3,aj_bush_jr._illinois,138.0,733.0,5.31,8.0,13.80,73.30,733,1413,355,2146,6.05,214.6,4,8
False,AJ Duffy,2022,QB,florida_state,1,3,7.0,2.0,28.6,26.0,3.7,1.0,0.0,106.91,2.3,8.7,aj_duffy_florida_state,1.0,5.0,5.00,0.0,0.33,1.67,5,26,8,31,3.88,10.3,10,3
False,AJ Duffy,2023,QB,florida_state,1,1,,,,,,,,,,,aj_duffy_florida_state,3.0,5.0,1.67,0.0,3.00,5.00,5,0,3,5,1.67,5.0,13,1
False,AJ Mayer,2019,QB,miami_ohio,1,3,,,,,,,,,,,aj_mayer_miami_ohio,3.0,-11.0,-3.67,0.0,1.00,-3.67,-11,0,3,-11,-3.67,-3.7,8,6
False,AJ Mayer,2020,QB,miami_ohio,2,3,49.0,23.0,46.9,328.0,6.7,4.0,1.0,126.03,16.3,109.3,aj_mayer_miami_ohio,7.0,1.0,0.14,0.0,2.33,0.33,1,328,56,329,5.88,109.7,2,1
