team_name,season,team_wins,team_losses
cincinnati,2016,4,8
connecticut,2016,3,9
east_carolina,2016,3,9
houston,2016,9,4
memphis,2016,8,5
navy,2016,9,5
south_florida,2016,11,2
smu,2016,5,7
temple,2016,10,4
tulane,2016,4,8
tulsa,2016,10,3
ucf,2016,6,7
boston_college,2016,7,6
clemson,2016,14,1
duke,2016,4,8
florida_state,2016,10,3
georgia_tech,2016,9,4
louisville,2016,9,4
miami_florida,2016,9,4
north_carolina,2016,8,5
north_carolina_state,2016,7,6
pittsburgh,2016,8,5
syracuse,2016,4,8
virginia,2016,2,10
virginia_tech,2016,10,4
wake_forest,2016,7,6
baylor,2016,7,6
iowa_state,2016,3,9
kansas,2016,2,10
kansas_state,2016,9,4
oklahoma,2016,11,2
oklahoma_state,2016,10,3
tcu,2016,6,7
texas,2016,5,7
texas_tech,2016,5,7
west_virginia,2016,10,3
illinois,2016,3,9
indiana,2016,6,7
iowa,2016,8,5
maryland,2016,6,7
michigan,2016,10,3
michigan_state,2016,3,9
minnesota,2016,9,4
nebraska,2016,9,4
northwestern,2016,7,6
ohio_state,2016,11,2
penn_state,2016,11,3
purdue,2016,3,9
rutgers,2016,2,10
wisconsin,2016,11,3
charlotte,2016,4,8
florida_atlantic,2016,3,9
florida_international,2016,4,8
louisiana_tech,2016,9,5
marshall,2016,3,9
middle_tennessee,2016,8,5
north_texas,2016,5,8
old_dominion,2016,10,3
rice,2016,3,9
southern_mississippi,2016,7,6
utep,2016,4,8
utsa,2016,6,7
western_kentucky,2016,11,3
army,2016,8,5
byu,2016,9,4
massachusetts,2016,2,10
notre_dame,2016,4,8
akron,2016,5,7
ball_state,2016,4,8
bowling_green,2016,4,8
buffalo,2016,2,10
central_michigan,2016,6,7
eastern_michigan,2016,7,6
kent_state,2016,3,9
miami_ohio,2016,6,7
northern_illinois,2016,5,7
ohio,2016,8,6
toledo,2016,9,4
western_michigan,2016,13,1
air_force,2016,10,3
boise_state,2016,10,3
colorado_state,2016,7,6
fresno_state,2016,1,11
hawai'i,2016,7,7
nevada,2016,5,7
new_mexico,2016,9,4
san_diego_state,2016,11,3
san_jose_state,2016,4,8
unlv,2016,4,8
utah_state,2016,3,9
wyoming,2016,8,6
arizona,2016,3,9
arizona_state,2016,5,7
california,2016,5,7
colorado,2016,10,4
oregon,2016,4,8
oregon_state,2016,4,8
usc,2016,10,3
stanford,2016,10,3
ucla,2016,4,8
utah,2016,9,4
washington,2016,12,2
washington_state,2016,8,5
alabama,2016,14,1
arkansas,2016,7,6
auburn,2016,8,5
florida,2016,9,4
georgia,2016,8,5
kentucky,2016,7,6
lsu,2016,8,4
mississippi,2016,5,7
mississippi_state,2016,6,7
missouri,2016,4,8
south_carolina,2016,6,7
tennessee,2016,9,4
texas_a&m,2016,8,5
vanderbilt,2016,6,7
appalachian_state,2016,10,3
arkansas_state,2016,8,5
georgia_southern,2016,5,7
georgia_state,2016,3,9
idaho,2016,9,4
louisiana-lafayette,2016,6,7
louisiana-monroe,2016,4,8
new_mexico_state,2016,3,9
south_alabama,2016,6,7
texas_state,2016,2,10
troy,2016,10,3
cincinnati,2017,4,8
connecticut,2017,3,9
east_carolina,2017,3,9
houston,2017,7,5
memphis,2017,10,3
navy,2017,7,6
south_florida,2017,10,2
smu,2017,7,6
temple,2017,7,6
tulane,2017,5,7
tulsa,2017,2,10
ucf,2017,13,0
boston_college,2017,7,6
clemson,2017,12,2
duke,2017,7,6
florida_state,2017,7,6
georgia_tech,2017,5,6
louisville,2017,8,5
miami_florida,2017,10,3
north_carolina,2017,3,9
north_carolina_state,2017,9,4
pittsburgh,2017,5,7
syracuse,2017,4,8
virginia,2017,6,7
virginia_tech,2017,9,4
wake_forest,2017,8,5
baylor,2017,1,11
iowa_state,2017,8,5
kansas,2017,1,11
kansas_state,2017,8,5
oklahoma,2017,12,2
oklahoma_state,2017,10,3
tcu,2017,11,3
texas,2017,7,6
texas_tech,2017,6,7
west_virginia,2017,7,6
illinois,2017,2,10
indiana,2017,5,7
iowa,2017,8,5
maryland,2017,4,8
michigan,2017,8,5
michigan_state,2017,10,3
minnesota,2017,5,7
nebraska,2017,4,8
northwestern,2017,10,3
ohio_state,2017,12,2
penn_state,2017,11,2
purdue,2017,7,6
rutgers,2017,4,8
wisconsin,2017,13,1
