team_name,number,name,position,year,height,weight,hometown,last_schools,team_page_url
air_force,77,Cameron Collins,OT,SO,6-3,260,"Lebanon, OH",Saint Xavier,https://cfbstats.com/2023/team/721/index.html
air_force,24,Robert Mbroh,ILB,JR,6-3,220,"Oklahoma City, OK",Heritage Hall,https://cfbstats.com/2023/team/721/index.html
air_force,71,Michael McAninch,OL,JR,6-3,300,"Toledo, OH",Western,https://cfbstats.com/2023/team/721/index.html
air_force,42,Jakobi McGowan,DB,JR,6-1,205,"Indianapolis, IN",Brownsburg,https://cfbstats.com/2023/team/721/index.html
air_force,82,Connor McIntee,TE,SR,6-3,235,"Sacramento, CA",Jesuit,https://cfbstats.com/2023/team/721/index.html
air_force,41,J. Frank Melgarejo III,LS,SR,6-0,225,"Plantation, FL",American Heritage,https://cfbstats.com/2023/team/721/index.html
air_force,85,Parker Menefee,TE,SO,6-6,240,"Missouri City, TX",Ridge Point,https://cfbstats.com/2023/team/721/index.html
air_force,10,Jalen Mergerson,SAF,SR,5-11,210,"Aurora, CO",Eaglecrest,https://cfbstats.com/2023/team/721/index.html
air_force,15,Jake Martin,DB,JR,6-2,200,"Monument, CO",Lewis Palmer,https://cfbstats.com/2023/team/721/index.html
air_force,47,Luke Meyer,OLB,FR,6-6,240,"Centennial, CO",Valor Christian,https://cfbstats.com/2023/team/721/index.html
air_force,40,Alec Mock,ILB,SR,6-3,240,"Weddington, NC",Weddington,https://cfbstats.com/2023/team/721/index.html
air_force,76,Alex Moore,OL,JR,6-3,270,"Louisville, KY",Trinity,https://cfbstats.com/2023/team/721/index.html
air_force,69,Wesley Ndago,OG,SR,6-2,300,"Waco, TX",Midway,https://cfbstats.com/2023/team/721/index.html
air_force,36,Kendall Newsom,CB,JR,5-9,170,"Arlington, TX",Nolan Catholic,https://cfbstats.com/2023/team/721/index.html
air_force,93,Bryce Olson,K,-,-,-,-,-,https://cfbstats.com/2023/team/721/index.html
air_force,92,John Olson,PK,SR,6-2,165,"Lakeview, MN",Lakeview South,https://cfbstats.com/2023/team/721/index.html
air_force,43,Kyler Orr,ILB,SO,6-1,210,"Chandler, AZ",Chandler,https://cfbstats.com/2023/team/721/index.html
air_force,4,Emmanuel Michel,FB,SR,5-10,210,"Lawrenceville, GA",Archer,https://cfbstats.com/2023/team/721/index.html
air_force,6,Matthew Malloy,OLB,SR,6-3,215,"Scottsdale, AZ",Notre Dame Prep,https://cfbstats.com/2023/team/721/index.html
air_force,19,Jesse Likens,DB,JR,5-9,165,"Youngstown, OH",John F. Kennedy,https://cfbstats.com/2023/team/721/index.html
air_force,25,Tylor Latham,RB,SO,5-8,180,"Madison, MS",Madison Ridgeland Academy,https://cfbstats.com/2023/team/721/index.html
air_force,62,Matthew Heitmann,OL,JR,6-4,290,"Littleton, CO",Dakota Ridge,https://cfbstats.com/2023/team/721/index.html
air_force,-,Ryan Henning,RB,FR,5-10,185,"Lincoln, CA",Lincoln,https://cfbstats.com/2023/team/721/index.html
air_force,56,Mark Hiestand,OT,SR,6-5,285,"South Bend, IN",Saint Joseph,https://cfbstats.com/2023/team/721/index.html
