name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name,season,player_id,transfer
A.J. Erdely,JR,QB,13,338,205,60.7,2331,6.9,16,4,131.83,26.0,179.3,uab,2017,a.j._erdely_uab,False
A.J. Erdely,SR,QB,9,198,111,56.1,1539,7.8,7,7,125.95,22.0,171.0,uab,2018,a.j._erdely_uab,False
A.j. Davis IV,SO,WR,10,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,uab,2021,a.j._davis_iv_uab,False
AJ Bianco,FR,QB,8,82,45,54.9,614,7.5,4,5,121.68,10.3,76.8,nevada,2023,aj_bianco_nevada,False
AJ Bianco,SO,QB,2,3,3,100.0,42,14.0,0,0,217.6,1.5,21.0,nevada,2024,aj_bianco_nevada,False
AJ Bush,JR,QB,5,11,7,63.6,99,9.0,1,0,169.24,2.2,19.8,virginia_tech,2017,aj_bush_virginia_tech,False
AJ Bush Jr.,SR,QB,10,217,117,53.9,1413,6.5,6,10,108.52,21.7,141.3,illinois,2018,aj_bush_jr._illinois,False
AJ Duffy,FR,QB,3,7,2,28.6,26,3.7,1,0,106.91,2.3,8.7,florida_state,2022,aj_duffy_florida_state,False
AJ Mayer,SO,QB,3,49,23,46.9,328,6.7,4,1,126.03,16.3,109.3,miami_ohio,2020,aj_mayer_miami_ohio,False
AJ Mayer,SO,QB,7,125,68,54.4,946,7.6,6,2,130.61,17.9,135.1,miami_ohio,2021,aj_mayer_miami_ohio,True
AJ Mayer,JR,QB,9,39,19,48.7,214,5.5,2,1,106.6,4.3,23.8,arkansas_state,2022,aj_mayer_arkansas_state,False
AJ Padgett,FR,QB,3,77,39,50.6,634,8.2,5,1,138.65,25.7,211.3,rice,2022,aj_padgett_rice,False
AJ Padgett,FR,QB,6,117,71,60.7,721,6.2,8,6,124.75,19.5,120.2,rice,2023,aj_padgett_rice,False
AJ Swann,FR,QB,9,198,115,58.1,1274,6.4,10,2,126.78,22.0,141.6,vanderbilt,2022,aj_swann_vanderbilt,False
AJ Swann,SO,QB,6,196,107,54.6,1457,7.4,12,7,130.1,32.7,242.8,vanderbilt,2023,aj_swann_vanderbilt,False
Aaren Vaughns,JR,WR,12,2,1,50.0,29,14.5,1,0,336.8,0.2,2.4,utah_state,2017,aaren_vaughns_utah_state,False
Aaron Allen,FR,QB,2,6,3,50.0,47,7.8,1,1,137.47,3.0,23.5,louisiana_tech,2018,aaron_allen_louisiana_tech,False
Aaron Allen,FR,QB,6,75,43,57.3,446,5.9,3,1,117.81,12.5,74.3,louisiana_tech,2019,aaron_allen_louisiana_tech,False
Aaron Allen,SO,QB,10,121,73,60.3,602,5.0,4,8,99.81,12.1,60.2,louisiana_tech,2020,aaron_allen_louisiana_tech,False
