name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name,season,player_id,transfer
A'Darius Purifoy,FR,WR,2,1,2,2.00,0,0.5,1.0,appalachian_state,2017,a'darius_purifoy_appalachian_state,False
A'Darius Purifoy,SO,WR,5,2,25,12.50,0,0.4,5.0,appalachian_state,2018,a'darius_purifoy_appalachian_state,False
A'Jon Vivens,SO,WR,4,1,1,1.00,0,0.3,0.3,colorado_state,2020,a'jon_vivens_colorado_state,False
A'Jon Vivens,JR,RB,9,10,73,7.30,0,1.1,8.1,colorado_state,2021,a'jon_vivens_colorado_state,False
A'Jon Vivens,SR,RB,5,4,26,6.50,0,0.8,5.2,colorado_state,2022,a'jon_vivens_colorado_state,False
A'Varius Sparrow,FR,RB,3,5,46,9.20,0,1.7,15.3,middle_tennessee,2022,a'varius_sparrow_middle_tennessee,False
A.D. Miller,SO,WR,12,12,145,12.08,2,1.0,12.1,oklahoma,2016,a.d._miller_oklahoma,False
A.D. Miller,JR,WR,9,7,75,10.71,2,0.8,8.3,oklahoma,2018,a.d._miller_oklahoma,False
A.D. Miller,SR,WR,10,6,118,19.67,0,0.6,11.8,oklahoma,2019,a.d._miller_oklahoma,False
A.J. Abbott,SO,WR,4,2,12,6.00,0,0.5,3.0,wisconsin,2020,a.j._abbott_wisconsin,False
A.J. Abbott,JR,WR,3,1,7,7.00,0,0.3,2.3,wisconsin,2021,a.j._abbott_wisconsin,True
A.J. Abbott,SR,WR,4,5,61,12.20,1,1.3,15.3,western_michigan,2022,a.j._abbott_western_michigan,False
A.J. Alexander,FR,TE,13,4,27,6.75,0,0.3,2.1,ohio_state,2016,a.j._alexander_ohio_state,False
A.J. Branisel,JR,TE,11,12,163,13.58,4,1.1,14.8,florida_international,2016,a.j._branisel_florida_international,False
A.J. Brown,FR,WR,12,29,412,14.21,2,2.4,34.3,mississippi,2016,a.j._brown_mississippi,False
A.J. Brown,SO,WR,12,75,1252,16.69,11,6.3,104.3,mississippi,2017,a.j._brown_mississippi,False
A.J. Brown,JR,WR,12,85,1320,15.53,6,7.1,110.0,mississippi,2018,a.j._brown_mississippi,False
A.J. Carter,FR,RB,13,2,25,12.50,0,0.2,1.9,arizona_state,2019,a.j._carter_arizona_state,False
A.J. Coney,JR,WR,12,15,173,11.53,1,1.3,14.4,akron,2016,a.j._coney_akron,False
A.J. Coney,SR,WR,14,43,551,12.81,3,3.1,39.4,akron,2017,a.j._coney_akron,False
A.J. Davis,FR,RB,9,1,0,0.00,0,0.1,0.0,pittsburgh,2017,a.j._davis_pittsburgh,False
A.J. Davis,SO,RB,10,3,17,5.67,0,0.3,1.7,pittsburgh,2018,a.j._davis_pittsburgh,False
A.J. Davis,JR,RB,11,23,269,11.70,0,2.1,24.5,pittsburgh,2019,a.j._davis_pittsburgh,False
A.J. Davis Jr.,SR,RB,10,10,45,4.50,0,1.0,4.5,pittsburgh,2020,a.j._davis_jr._pittsburgh,False
A.J. Davis Jr.,SR,RB,2,4,23,5.75,0,2.0,11.5,pittsburgh,2021,a.j._davis_jr._pittsburgh,False
A.J. Epenesa,FR,DE,13,1,15,15.00,0,0.1,1.2,iowa,2017,a.j._epenesa_iowa,False
A.J. Erdely,JR,QB,13,1,3,3.00,0,0.1,0.2,uab,2017,a.j._erdely_uab,False
A.J. Henning,FR,WR,6,6,59,9.83,0,1.0,9.8,michigan,2020,a.j._henning_michigan,False
A.J. Henning,SO,WR,14,10,79,7.90,0,0.7,5.6,michigan,2021,a.j._henning_michigan,False
A.J. Henning,JR,WR,13,9,60,6.67,0,0.7,4.6,michigan,2022,a.j._henning_michigan,True
A.J. Henning,SR,WR,12,45,418,9.29,4,3.8,34.8,northwestern,2023,a.j._henning_northwestern,False
A.J. Henning,SR,WR,5,31,296,9.55,3,6.2,59.2,northwestern,2024,a.j._henning_northwestern,False
A.J. Howard,JR,RB,12,1,6,6.00,0,0.1,0.5,army,2020,a.j._howard_army,False
A.J. Howard,SR,RB,13,2,40,20.00,0,0.2,3.1,army,2021,a.j._howard_army,False
A.J. Krawczyk,SO,WR,10,1,-3,-3.00,0,0.1,-0.3,texas_state,2016,a.j._krawczyk_texas_state,False
A.J. Ouellette,JR,RB,13,10,97,9.70,1,0.8,7.5,ohio,2017,a.j._ouellette_ohio,False
A.J. Ouellette,SR,RB,13,21,212,10.10,2,1.6,16.3,ohio,2018,a.j._ouellette_ohio,False
A.J. Richardson,SO,WR,13,2,42,21.00,1,0.2,3.2,boise_state,2016,a.j._richardson_boise_state,False
A.J. Richardson,JR,WR,14,33,494,14.97,2,2.4,35.3,boise_state,2017,a.j._richardson_boise_state,False
A.J. Richardson,SR,WR,13,54,825,15.28,8,4.2,63.5,boise_state,2018,a.j._richardson_boise_state,False
A.J. Taylor,FR,WR,13,3,53,17.67,0,0.2,4.1,wisconsin,2016,a.j._taylor_wisconsin,False
A.J. Taylor,SO,WR,14,31,475,15.32,5,2.2,33.9,wisconsin,2017,a.j._taylor_wisconsin,False
A.J. Taylor,JR,WR,13,32,521,16.28,3,2.5,40.1,wisconsin,2018,a.j._taylor_wisconsin,False
A.J. Taylor,SR,WR,12,23,267,11.61,2,1.9,22.3,wisconsin,2019,a.j._taylor_wisconsin,False
A.J. Turner,FR,RB,12,21,143,6.81,1,1.8,11.9,south_carolina,2016,a.j._turner_south_carolina,False
A.J. Turner,SO,RB,13,18,117,6.50,0,1.4,9.0,south_carolina,2017,a.j._turner_south_carolina,False
A.J. Turner,JR,RB,12,8,75,9.38,2,0.7,6.3,south_carolina,2018,a.j._turner_south_carolina,False
A.J. Turner,FR,RB,8,4,21,5.25,1,0.5,2.6,marshall,2022,a.j._turner_marshall,False
A.J. Turner,SO,RB,3,1,5,5.00,0,0.3,1.7,marshall,2023,a.j._turner_marshall,False
A.J. Turner,SO,RB,5,4,35,8.75,1,0.8,7.0,marshall,2024,a.j._turner_marshall,False
A.T. Perry,FR,WR,9,4,62,15.50,1,0.4,6.9,wake_forest,2019,a.t._perry_wake_forest,False
A.T. Perry,SO,WR,8,15,211,14.07,1,1.9,26.4,wake_forest,2020,a.t._perry_wake_forest,False
A.T. Perry,SO,WR,14,71,1293,18.21,15,5.1,92.4,wake_forest,2021,a.t._perry_wake_forest,False
A.T. Perry,JR,WR,13,81,1096,13.53,11,6.2,84.3,wake_forest,2022,a.t._perry_wake_forest,False
A.j. Davis IV,SO,WR,10,10,95,9.50,0,1.0,9.5,uab,2021,a.j._davis_iv_uab,False
AJ Barner,SO,TE,12,13,160,12.31,1,1.1,13.3,indiana,2021,aj_barner_indiana,False
AJ Barner,JR,TE,10,28,199,7.11,3,2.8,19.9,indiana,2022,aj_barner_indiana,True
AJ Barner,SR,TE,15,22,249,11.32,1,1.5,16.6,michigan,2023,aj_barner_michigan,False
AJ Brown,JR,RB,8,3,7,2.33,0,0.4,0.9,georgia_southern,2022,aj_brown_georgia_southern,False
AJ Dillon,SO,RB,10,8,41,5.13,1,0.8,4.1,boston_college,2018,aj_dillon_boston_college,False
AJ Dillon,JR,RB,13,13,195,15.00,1,1.0,15.0,boston_college,2019,aj_dillon_boston_college,False
AJ Green,FR,RB,12,7,84,12.00,1,0.6,7.0,arkansas,2021,aj_green_arkansas,False
AJ Green,SO,RB,13,6,75,12.50,0,0.5,5.8,arkansas,2022,aj_green_arkansas,False
AJ Green,JR,RB,12,6,25,4.17,1,0.5,2.1,arkansas,2023,aj_green_arkansas,False
AJ Jones,FR,WR,10,5,27,5.40,0,0.5,2.7,arizona,2023,aj_jones_arizona,False
AJ Lewis,FR,TE,12,6,73,12.17,3,0.5,6.1,troy,2019,aj_lewis_troy,False
AJ Lewis,SO,TE,11,2,18,9.00,2,0.2,1.6,troy,2020,aj_lewis_troy,False
AJ Lewis,SO,TE,12,10,60,6.00,0,0.8,5.0,troy,2021,aj_lewis_troy,False
AJ Newberry,SO,RB,5,3,75,25.0,0,0.6,15.0,vanderbilt,2024,aj_newberry_vanderbilt,False
AJ Phillips,FR,RB,8,1,6,6.00,0,0.1,0.8,south_alabama,2021,aj_phillips_south_alabama,False
AJ Toney,JR,WR,7,8,46,5.75,0,1.1,6.6,middle_tennessee,2022,aj_toney_middle_tennessee,False
AJ Toney,SR,WR,2,3,7,2.33,0,1.5,3.5,middle_tennessee,2023,aj_toney_middle_tennessee,False
AJ Vongphachanh,SR,ILB,13,1,12,12.00,0,0.1,0.9,utah_state,2022,aj_vongphachanh_utah_state,False
Aaren Vaughns,JR,WR,12,14,155,11.07,0,1.2,12.9,utah_state,2017,aaren_vaughns_utah_state,False
Aaren Vaughns,SR,WR,13,33,581,17.61,5,2.5,44.7,utah_state,2018,aaren_vaughns_utah_state,False
Aaron Anderson,FR,WR,11,12,59,4.92,0,1.1,5.4,lsu,2023,aaron_anderson_lsu,False
Aaron Anderson,SO,WR,5,27,371,13.74,2,5.4,74.2,lsu,2024,aaron_anderson_lsu,False
Aaron Bedgood,FR,WR,5,8,76,9.50,1,1.6,15.2,coastal_carolina,2019,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,SO,WR,13,5,69,13.80,2,0.4,5.3,coastal_carolina,2021,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,SR,WR,14,21,220,10.48,2,1.5,15.7,liberty,2023,aaron_bedgood_liberty,False
Aaron Cephus,FR,WR,11,25,622,24.88,5,2.3,56.5,rice,2017,aaron_cephus_rice,False
Aaron Cephus,SO,WR,12,40,565,14.13,5,3.3,47.1,rice,2018,aaron_cephus_rice,True
Aaron Cephus,SR,WR,6,1,29,29.00,0,0.2,4.8,hawai'i,2020,aaron_cephus_hawai'i,False
Aaron Cephus,SR,WR,7,7,80,11.43,1,1.0,11.4,hawai'i,2021,aaron_cephus_hawai'i,False
Aaron Duckworth,JR,RB,13,7,60,8.57,1,0.5,4.6,idaho,2016,aaron_duckworth_idaho,False
Aaron Duckworth,SR,RB,12,15,193,12.87,0,1.3,16.1,idaho,2017,aaron_duckworth_idaho,False
Aaron Fuller,FR,WR,14,16,184,11.50,2,1.1,13.1,washington,2016,aaron_fuller_washington,False
Aaron Fuller,SO,WR,13,26,291,11.19,1,2.0,22.4,washington,2017,aaron_fuller_washington,False
Aaron Fuller,JR,WR,14,58,874,15.07,4,4.1,62.4,washington,2018,aaron_fuller_washington,False
Aaron Fuller,SR,WR,13,59,702,11.90,6,4.5,54.0,washington,2019,aaron_fuller_washington,False
Aaron Greene,SO,TE,9,1,5,5.00,0,0.1,0.6,san_diego_state,2022,aaron_greene_san_diego_state,False
Aaron Hackett,SO,TE,13,4,43,10.75,1,0.3,3.3,syracuse,2018,aaron_hackett_syracuse,False
Aaron Hackett,JR,TE,12,23,205,8.91,6,1.9,17.1,syracuse,2019,aaron_hackett_syracuse,False
Aaron Hackett,SR,TE,11,10,63,6.30,2,0.9,5.7,syracuse,2020,aaron_hackett_syracuse,True
Aaron Hackett,SR,TE,12,5,21,4.20,0,0.4,1.8,kent_state,2021,aaron_hackett_kent_state,False
Aaron Hansford,FR,WR,7,3,39,13.00,0,0.4,5.6,texas_a&m,2017,aaron_hansford_texas_a&m,False
Aaron Hepp,SR,WR,12,13,164,12.62,1,1.1,13.7,ball_state,2016,aaron_hepp_ball_state,False
Aaron Jackson,SO,TE,4,3,23,7.67,0,0.8,5.8,eastern_michigan,2020,aaron_jackson_eastern_michigan,False
Aaron Jackson,SR,TE,11,4,13,3.25,1,0.4,1.2,eastern_michigan,2022,aaron_jackson_eastern_michigan,False
Aaron Jarman,FR,TE,12,1,10,10.00,1,0.1,0.8,temple,2019,aaron_jarman_temple,False
Aaron Jarman,SO,TE,7,1,11,11.00,1,0.1,1.6,temple,2020,aaron_jarman_temple,True
Aaron Jarman,SR,TE,11,1,6,6.00,0,0.1,0.5,east_carolina,2022,aaron_jarman_east_carolina,False
Aaron Jones,JR,RB,12,28,233,8.32,3,2.3,19.4,utep,2016,aaron_jones_utep,False
Aaron Mathews,FR,WR,12,6,51,8.50,0,0.5,4.3,pittsburgh,2016,aaron_mathews_pittsburgh,False
Aaron Mathews,SO,WR,11,16,189,11.81,0,1.5,17.2,pittsburgh,2017,aaron_mathews_pittsburgh,False
Aaron Mathews,JR,WR,14,9,120,13.33,0,0.6,8.6,pittsburgh,2018,aaron_mathews_pittsburgh,False
Aaron Mathews,SR,WR,13,13,220,16.92,1,1.0,16.9,pittsburgh,2019,aaron_mathews_pittsburgh,False
Aaron McAllister,FR,RB,12,1,6,6.00,0,0.1,0.5,charlotte,2017,aaron_mcallister_charlotte,False
Aaron McAllister,SO,RB,12,7,49,7.00,0,0.6,4.1,charlotte,2018,aaron_mcallister_charlotte,False
Aaron McAllister,JR,RB,11,7,69,9.86,2,0.6,6.3,charlotte,2019,aaron_mcallister_charlotte,False
Aaron McAllister,SR,RB,5,6,90,15.00,1,1.2,18.0,charlotte,2020,aaron_mcallister_charlotte,False
Aaron McLean,SO,WR,12,2,40,20.00,0,0.2,3.3,connecticut,2016,aaron_mclean_connecticut,False
Aaron McLean,JR,WR,12,31,472,15.23,2,2.6,39.3,connecticut,2017,aaron_mclean_connecticut,False
Aaron McLean,SR,TE,12,32,396,12.38,2,2.7,33.0,connecticut,2018,aaron_mclean_connecticut,False
Aaron Molina,JR,WR,12,2,20,10.00,1,0.2,1.7,new_mexico,2017,aaron_molina_new_mexico,False
Aaron Molina,SR,WR,4,4,64,16.00,0,1.0,16.0,new_mexico,2018,aaron_molina_new_mexico,False
Aaron Molina,SR,WR,10,14,245,17.50,3,1.4,24.5,new_mexico,2019,aaron_molina_new_mexico,False
Aaron Moore,FR,WR,12,26,389,14.96,3,2.2,32.4,old_dominion,2019,aaron_moore_old_dominion,False
Aaron Moore,SO,WR,2,1,9,9.00,0,0.5,4.5,old_dominion,2021,aaron_moore_old_dominion,False
Aaron Peck,SR,WR,11,46,630,13.70,3,4.2,57.3,fresno_state,2016,aaron_peck_fresno_state,False
Aaron Short,JR,WR,8,3,42,14.00,0,0.4,5.3,oregon_state,2018,aaron_short_oregon_state,False
