name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name,season,player_id,transfer
A'Jon Vivens,SO,WR,4,49,210,4.29,1,12.25,52.50,colorado_state,2020,a'jon_vivens_colorado_state,False
A'Jon Vivens,JR,RB,9,90,324,3.60,0,10.00,36.00,colorado_state,2021,a'jon_vivens_colorado_state,False
A'Jon Vivens,SR,RB,5,39,104,2.67,0,7.80,20.80,colorado_state,2022,a'jon_vivens_colorado_state,False
A'Marion Peterson,FR,RB,2,2,14,7.00,0,1.00,7.00,usc,2023,a'marion_peterson_usc,False
A'Marion Peterson,FR,RB,3,3,18,6.00,1,1.00,6.00,usc,2024,a'marion_peterson_usc,False
A'Varius Sparrow,FR,RB,5,3,10,3.33,0,0.60,2.00,west_virginia,2020,a'varius_sparrow_west_virginia,False
A'Varius Sparrow,FR,RB,2,3,4,1.33,1,1.50,2.00,west_virginia,2021,a'varius_sparrow_west_virginia,True
A'Varius Sparrow,FR,RB,3,8,18,2.25,0,2.67,6.00,middle_tennessee,2022,a'varius_sparrow_middle_tennessee,False
A.J. Carter,FR,RB,4,4,12,3.00,0,1.00,3.00,arizona_state,2018,a.j._carter_arizona_state,False
A.J. Carter,FR,RB,13,19,50,2.63,0,1.46,3.85,arizona_state,2019,a.j._carter_arizona_state,False
A.J. Cole III,SO,P,13,1,1,1.00,0,0.08,0.08,north_carolina_state,2016,a.j._cole_iii_north_carolina_state,False
A.J. Davis,FR,RB,9,16,40,2.50,1,1.78,4.44,pittsburgh,2017,a.j._davis_pittsburgh,False
A.J. Davis,SO,RB,10,32,134,4.19,0,3.20,13.40,pittsburgh,2018,a.j._davis_pittsburgh,False
A.J. Davis,JR,RB,11,127,530,4.17,4,11.55,48.18,pittsburgh,2019,a.j._davis_pittsburgh,False
A.J. Davis Jr.,SR,RB,10,61,266,4.36,1,6.10,26.60,pittsburgh,2020,a.j._davis_jr._pittsburgh,False
A.J. Davis Jr.,SR,RB,2,2,21,10.50,1,1.00,10.50,pittsburgh,2021,a.j._davis_jr._pittsburgh,False
A.J. Erdely,JR,QB,13,122,326,2.67,13,9.38,25.08,uab,2017,a.j._erdely_uab,False
A.J. Erdely,SR,QB,9,84,257,3.06,5,9.33,28.56,uab,2018,a.j._erdely_uab,False
A.J. Gates,SO,RB,3,7,24,3.43,0,2.33,8.00,uab,2021,a.j._gates_uab,False
A.J. Gates,JR,RB,9,11,13,1.18,0,1.22,1.44,uab,2022,a.j._gates_uab,False
A.J. Green,SR,CB,13,1,2,2.00,0,0.08,0.15,oklahoma_state,2019,a.j._green_oklahoma_state,False
A.J. Henning,FR,WR,6,3,15,5.00,0,0.50,2.50,michigan,2020,a.j._henning_michigan,False
A.J. Henning,SO,WR,14,9,162,18.00,2,0.64,11.57,michigan,2021,a.j._henning_michigan,False
A.J. Henning,JR,WR,13,3,9,3.00,0,0.23,0.69,michigan,2022,a.j._henning_michigan,True
A.J. Henning,SR,WR,12,27,110,4.07,1,2.25,9.17,northwestern,2023,a.j._henning_northwestern,False
A.J. Henning,SR,WR,5,2,8,4.00,0,0.40,1.60,northwestern,2024,a.j._henning_northwestern,False
A.J. Howard,SO,RB,6,2,28,14.00,0,0.33,4.67,army,2019,a.j._howard_army,False
A.J. Howard,JR,RB,12,15,75,5.00,0,1.25,6.25,army,2020,a.j._howard_army,False
A.J. Howard,SR,RB,13,20,106,5.30,2,1.54,8.15,army,2021,a.j._howard_army,False
A.J. Krawczyk,SO,WR,10,1,-6,-6.00,0,0.10,-0.60,texas_state,2016,a.j._krawczyk_texas_state,False
A.J. Ouellette,JR,RB,1,3,45,15.00,0,3.00,45.00,ohio,2016,a.j._ouellette_ohio,False
A.J. Ouellette,JR,RB,13,192,1006,5.24,7,14.77,77.38,ohio,2017,a.j._ouellette_ohio,False
A.J. Ouellette,SR,RB,13,213,1306,6.13,12,16.38,100.46,ohio,2018,a.j._ouellette_ohio,False
A.J. Taylor,FR,WR,13,4,19,4.75,0,0.31,1.46,wisconsin,2016,a.j._taylor_wisconsin,False
A.J. Taylor,SO,WR,14,6,26,4.33,0,0.43,1.86,wisconsin,2017,a.j._taylor_wisconsin,False
A.J. Taylor,SR,WR,12,6,34,5.67,0,0.50,2.83,wisconsin,2019,a.j._taylor_wisconsin,False
A.J. Turner,FR,RB,12,116,497,4.28,3,9.67,41.42,south_carolina,2016,a.j._turner_south_carolina,False
A.J. Turner,SO,RB,13,98,531,5.42,3,7.54,40.85,south_carolina,2017,a.j._turner_south_carolina,False
A.J. Turner,JR,RB,12,46,294,6.39,2,3.83,24.50,south_carolina,2018,a.j._turner_south_carolina,False
A.J. Turner,SR,ATH,7,4,14,3.50,0,0.57,2.00,south_carolina,2019,a.j._turner_south_carolina,True
A.J. Turner,FR,RB,8,17,100,5.88,0,2.13,12.50,marshall,2022,a.j._turner_marshall,False
A.J. Turner,SO,RB,3,6,20,3.33,0,2.00,6.67,marshall,2023,a.j._turner_marshall,False
A.J. Turner,SO,RB,5,42,443,10.55,2,8.40,88.60,marshall,2024,a.j._turner_marshall,False
A.j. Davis IV,SO,WR,10,1,-3,-3.00,0,0.10,-0.30,uab,2021,a.j._davis_iv_uab,False
AJ Bianco,FR,QB,8,42,183,4.36,1,5.25,22.88,nevada,2023,aj_bianco_nevada,False
AJ Brown,SO,RB,1,1,2,2.00,0,1.00,2.00,georgia_southern,2021,aj_brown_georgia_southern,False
AJ Brown,JR,RB,8,15,67,4.47,1,1.88,8.38,georgia_southern,2022,aj_brown_georgia_southern,False
AJ Bush,JR,QB,5,19,129,6.79,0,3.80,25.80,virginia_tech,2017,aj_bush_virginia_tech,False
AJ Bush Jr.,SR,QB,10,138,733,5.31,8,13.80,73.30,illinois,2018,aj_bush_jr._illinois,False
AJ DiNota,JR,RB,6,6,29,4.83,0,1.00,4.83,texas_a&m,2024,aj_dinota_texas_a&m,False
