name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name,season,player_id,transfer
A'Jon Vivens,SO,WR,4,210,0,49,210,4.29,52.5,colorado_state,2020,a'jon_vivens_colorado_state,False
A'Jon Vivens,JR,RB,9,324,0,90,324,3.60,36.0,colorado_state,2021,a'jon_vivens_colorado_state,False
A'Jon Vivens,SR,RB,5,104,0,39,104,2.67,20.8,colorado_state,2022,a'jon_vivens_colorado_state,False
A'Marion Peterson,FR,RB,2,14,0,2,14,7.00,7.0,usc,2023,a'marion_peterson_usc,False
A'Marion Peterson,FR,RB,3,18,0,3,18,6.00,6.0,usc,2024,a'marion_peterson_usc,False
A'Varius Sparrow,FR,RB,5,10,0,3,10,3.33,2.0,west_virginia,2020,a'varius_sparrow_west_virginia,False
A'Varius Sparrow,FR,RB,2,4,0,3,4,1.33,2.0,west_virginia,2021,a'varius_sparrow_west_virginia,True
A'Varius Sparrow,FR,RB,3,18,0,8,18,2.25,6.0,middle_tennessee,2022,a'varius_sparrow_middle_tennessee,False
A.J. Carter,FR,RB,4,12,0,4,12,3.00,3.0,arizona_state,2018,a.j._carter_arizona_state,False
A.J. Carter,FR,RB,13,50,0,19,50,2.63,3.8,arizona_state,2019,a.j._carter_arizona_state,False
A.J. Cole III,SO,P,13,1,0,1,1,1.00,0.1,north_carolina_state,2016,a.j._cole_iii_north_carolina_state,False
A.J. Davis,FR,RB,9,40,0,16,40,2.50,4.4,pittsburgh,2017,a.j._davis_pittsburgh,False
A.J. Davis,SO,RB,10,134,0,32,134,4.19,13.4,pittsburgh,2018,a.j._davis_pittsburgh,False
A.J. Davis,JR,RB,11,530,0,127,530,4.17,48.2,pittsburgh,2019,a.j._davis_pittsburgh,False
A.J. Davis Jr.,SR,RB,10,266,0,61,266,4.36,26.6,pittsburgh,2020,a.j._davis_jr._pittsburgh,False
A.J. Davis Jr.,SR,RB,2,21,0,2,21,10.50,10.5,pittsburgh,2021,a.j._davis_jr._pittsburgh,False
