name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Cole Fagan,JR,FB,12,185,997,5.39,7,15.42,83.08,air_force
Kadin Remsberg,SO,RB,12,100,583,5.83,3,8.33,48.58,air_force
Isaiah Sanders,JR,QB,8,120,466,3.88,6,15.00,58.25,air_force
Donald Hammond III,SO,QB,9,84,374,4.45,9,9.33,41.56,air_force
Joseph Saucier,JR,RB,11,43,274,6.37,2,3.91,24.91,air_force
Taven Birdow,JR,FB,11,50,256,5.12,1,4.55,23.27,air_force
Ronald Cleveland,SR,WR,7,39,171,4.38,2,5.57,24.43,air_force
Nolan Eriksen,JR,RB,9,21,101,4.81,1,2.33,11.22,air_force
Arion Worthman,SR,QB,4,29,88,3.03,1,7.25,22.00,air_force
Christian Mallard,JR,RB,4,11,46,4.18,1,2.75,11.50,air_force
Andrew Smith,SR,WR,12,5,29,5.80,0,0.42,2.42,air_force
Parker Wilson,SR,FB,1,5,22,4.40,0,5.00,22.00,air_force
Garrett Amy,SR,WR,12,4,14,3.50,0,0.33,1.17,air_force
Colton Parton,JR,LB,2,3,7,2.33,0,1.50,3.50,air_force
Joshua Stoner,SO,RB,2,2,3,1.50,0,1.00,1.50,air_force
Marcus Bennett,SR,WR,12,0,2,-,0,-,-,air_force
Brandon Lewis,FR,WR,4,1,1,1.00,0,0.25,0.25,air_force
Geraud Sanders,JR,WR,11,1,-3,-3.00,0,0.09,-0.27,air_force
Charlie Scott,JR,,11,1,-10,-10.00,0,0.09,-0.91,air_force
"Van Edwards, Jr.",SR,RB,11,147,558,3.80,3,13.36,50.73,akron
Kato Nelson,SO,QB,11,131,303,2.31,1,11.91,27.55,akron
Deltron Sands,JR,RB,11,39,128,3.28,0,3.55,11.64,akron
Keyondre White,FR,RB,7,23,81,3.52,1,3.29,11.57,akron
Jemarulin Suggs,FR,RB,4,19,52,2.74,0,4.75,13.00,akron
Dylan Meeks,SO,TE,12,1,30,30.00,0,0.08,2.50,akron
Kwadarrius Smith,SR,WR,11,8,24,3.00,0,0.73,2.18,akron
