name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Haaziq Daniels,SO,QB,6,54,30,55.6,433,8.0,3,3,130.14,9.0,72.2,air_force
Warren Bryan,JR,QB,3,6,3,50.0,38,6.3,0,0,103.20,2.0,12.7,air_force
Ben Brittain,FR,QB,2,1,1,100.0,31,31.0,0,0,360.40,0.5,15.5,air_force
Zach Gibson,FR,QB,6,132,76,57.6,784,5.9,4,5,109.89,22.0,130.7,akron
T.J. DeShields,SO,QB,2,16,7,43.8,54,3.4,0,1,59.60,8.0,27.0,akron
Mac Jones,JR,QB,13,402,311,77.4,4500,11.2,41,4,203.06,30.9,346.2,alabama
Bryce Young,FR,QB,9,22,13,59.1,156,7.1,1,0,133.65,2.4,17.3,alabama
Zac Thomas,SR,QB,12,291,186,63.9,2189,7.5,20,11,142.22,24.3,182.4,appalachian_state
Jacob Huesman,SR,QB,6,4,3,75.0,34,8.5,0,0,146.40,0.7,5.7,appalachian_state
Malik Williams,SR,WR,11,3,1,33.3,22,7.3,1,0,204.93,0.3,2.0,appalachian_state
Grant Gunnell,SO,QB,4,93,64,68.8,625,6.7,6,2,142.26,23.3,156.3,arizona
Will Plummer,FR,QB,3,80,43,53.8,388,4.9,0,3,86.99,26.7,129.3,arizona
Rhett Rodriguez,JR,QB,1,16,7,43.8,52,3.3,0,2,46.05,16.0,52.0,arizona
Jayden Daniels,SO,QB,4,84,49,58.3,701,8.3,5,1,145.69,21.0,175.3,arizona_state
Ricky Pearsall,SO,WR,4,1,1,100.0,52,52.0,0,0,536.80,0.3,13.0,arizona_state
Trenton Bourguet,FR,QB,1,2,1,50.0,24,12.0,0,0,150.80,2.0,24.0,arizona_state
Feleipe Franks,SR,QB,10,238,163,68.5,2107,8.9,17,4,163.07,23.8,210.7,arkansas
KJ Jefferson,FR,QB,5,41,20,48.8,295,7.2,3,0,133.37,8.2,59.0,arkansas
De’Vion Warren,SR,WR,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas
Treylon Burks,SO,WR,9,4,0,0.0,0,0.0,0,2,-100.00,0.4,0.0,arkansas
Layne Hatcher,SO,QB,11,194,116,59.8,2058,10.6,19,2,179.16,17.6,187.1,arkansas_state
Logan Bonner,JR,QB,11,262,156,59.5,1863,7.1,18,6,137.36,23.8,169.4,arkansas_state
Jeff Foreman,SO,WR,11,2,1,50.0,48,24.0,1,1,316.60,0.2,4.4,arkansas_state
Roshauud Paul,JR,WR,9,2,2,100.0,39,19.5,1,0,428.80,0.2,4.3,arkansas_state
Coltin Clack,FR,QB,1,2,0,0.0,0,0.0,0,0,0.00,2.0,0.0,arkansas_state
Ryan Hanson,FR,P,11,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas_state
Christian Anderson,JR,QB,7,47,20,42.6,215,4.6,1,4,70.97,6.7,30.7,army
Jemel Jones,SO,QB,5,19,9,47.4,156,8.2,2,2,130.03,3.8,31.2,army
Cade Ballard,FR,QB,3,4,2,50.0,106,26.5,1,0,355.10,1.3,35.3,army
Tyhier Tyler,SO,QB,7,4,2,50.0,53,13.3,0,0,161.30,0.6,7.6,army
Maurice Bellan,SO,RB,7,1,1,100.0,10,10.0,0,0,184.00,0.1,1.4,army
Tyson Riley,FR,RB,7,1,1,100.0,-3,-3.0,0,0,74.80,0.1,-0.4,army
Bo Nix,SO,QB,11,357,214,59.9,2415,6.8,12,7,123.94,32.5,219.5,auburn
Cord Sandberg,SO,QB,1,1,1,100.0,8,8.0,0,0,167.20,1.0,8.0,auburn
J.J. Pegues,FR,TE,11,1,1,100.0,0,0.0,0,0,100.00,0.1,0.0,auburn
Grant Loy,SR,QB,3,2,0,0.0,0,0.0,0,0,0.00,0.7,0.0,auburn
Drew Plitt,SR,QB,8,250,164,65.6,2164,8.7,17,6,155.95,31.3,270.5,ball_state
