name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Kyle Patterson,SO,TE,5,12,205,17.08,2,2.4,41.0,air_force
Ben Peterson,SR,WR,6,3,95,31.67,1,0.5,15.8,air_force
Brandon Lewis,JR,WR,5,9,79,8.78,0,1.8,15.8,air_force
Daniel Morris,SR,WR,5,7,73,10.43,0,1.4,14.6,air_force
Rhett Harms,SR,TE,5,1,31,31.00,0,0.2,6.2,air_force
Dalton King,JR,TE,5,1,12,12.00,0,0.2,2.4,air_force
Jake Spiewak,JR,WR,6,1,7,7.00,0,0.2,1.2,air_force
Nate Stewart,SR,WR,6,17,217,12.76,1,2.8,36.2,akron
"George Qualls, Jr.",JR,WR,6,12,160,13.33,1,2.0,26.7,akron
"Tony Grimes, Jr.",FR,WR,6,12,130,10.83,0,2.0,21.7,akron
Michael Mathison,SO,WR,4,11,111,10.09,2,2.8,27.8,akron
Tristian Brank,FR,TE,6,5,54,10.80,0,0.8,9.0,akron
Jonzell Norrils,FR,RB,2,2,32,16.00,0,1.0,16.0,akron
Teon Dollard,JR,RB,6,10,29,2.90,0,1.7,4.8,akron
Shawn Naim,FR,WR,6,5,28,5.60,0,0.8,4.7,akron
Jeremiah Knight,JR,WR,6,3,25,8.33,0,0.5,4.2,akron
Maverick Wolfley,SO,TE,3,2,19,9.50,0,0.7,6.3,akron
Julian Hicks,JR,WR,4,2,18,9.00,0,0.5,4.5,akron
Timothy Scippio,JR,WR,2,1,14,14.00,0,0.5,7.0,akron
Marquis Whitmire,JR,WR,3,1,1,1.00,0,0.3,0.3,akron
DeVonta Smith,SR,WR,13,117,1856,15.86,23,9.0,142.8,alabama
John Metchie III,SO,WR,13,55,916,16.65,6,4.2,70.5,alabama
Jaylen Waddle,JR,WR,6,28,591,21.11,4,4.7,98.5,alabama
Najee Harris,SR,RB,13,43,425,9.88,4,3.3,32.7,alabama
Jahleel Billingsley,SO,TE,12,18,287,15.94,3,1.5,23.9,alabama
Slade Bolden,SO,WR,13,24,270,11.25,1,1.8,20.8,alabama
Miller Forristall,SR,TE,12,23,253,11.00,1,1.9,21.1,alabama
Brian Robinson Jr.,SR,RB,13,6,26,4.33,0,0.5,2.0,alabama
Xavier Williams,SO,WR,6,3,24,8.00,0,0.5,4.0,alabama
Javon Baker,FR,WR,7,2,15,7.50,0,0.3,2.1,alabama
Major Tennison,JR,TE,12,1,4,4.00,0,0.1,0.3,alabama
Jase McClellan,FR,RB,12,1,1,1.00,0,0.1,0.1,alabama
Trey Sanders,FR,RB,4,1,-2,-2.00,0,0.3,-0.5,alabama
Thaiu Jones-Bell,FR,WR,4,1,-2,-2.00,0,0.3,-0.5,alabama
Mac Jones,JR,QB,13,1,-8,-8.00,0,0.1,-0.6,alabama
Thomas Hennigan,SR,WR,12,47,616,13.11,3,3.9,51.3,appalachian_state
Malik Williams,SR,WR,11,41,536,13.07,3,3.7,48.7,appalachian_state
Jalen Virgil,SR,WR,9,22,225,10.23,3,2.4,25.0,appalachian_state
Christian Wells,FR,WR,10,14,220,15.71,4,1.4,22.0,appalachian_state
Henry Pearson,JR,TE,8,16,180,11.25,4,2.0,22.5,appalachian_state
Miller Gibbs,SO,TE,10,8,92,11.50,1,0.8,9.2,appalachian_state
Christan Horn,FR,WR,8,3,79,26.33,0,0.4,9.9,appalachian_state
Mike Evans,SR,TE,6,5,75,15.00,1,0.8,12.5,appalachian_state
Dashaun Davis,FR,WR,7,11,71,6.45,0,1.6,10.1,appalachian_state
Trey Ross,SO,TE,11,2,33,16.50,0,0.2,3.0,appalachian_state
Nate Noel,FR,RB,10,2,25,12.50,0,0.2,2.5,appalachian_state
Jake Henry,JR,WR,8,2,22,11.00,0,0.3,2.8,appalachian_state
Zac Crosby,SR,TE,3,4,20,5.00,0,1.3,6.7,appalachian_state
Daetrich Harrington,JR,RB,6,2,15,7.50,0,0.3,2.5,appalachian_state
Camerun Peoples,SO,RB,11,3,15,5.00,0,0.3,1.4,appalachian_state
Milan Tucker,FR,WR,11,2,11,5.50,0,0.2,1.0,appalachian_state
Marcus Williams Jr.,SR,RB,8,3,5,1.67,0,0.4,0.6,appalachian_state
Caleb Spurlin,SR,DL,12,2,3,1.50,2,0.2,0.3,appalachian_state
Eli Wilson,FR,TE,4,1,2,2.00,0,0.3,0.5,appalachian_state
Stanley Berryhill III,JR,WR,5,23,227,9.87,3,4.6,45.4,arizona
Ma'jon Wright,FR,WR,5,15,176,11.73,1,3.0,35.2,arizona
Tayvian Cunningham,SR,WR,4,9,139,15.44,1,2.3,34.8,arizona
Brian Casteel,JR,WR,4,11,133,12.09,0,2.8,33.3,arizona
Jamarye Joiner,SO,WR,5,12,111,9.25,1,2.4,22.2,arizona
Boobie Curry,SO,WR,5,10,89,8.90,0,2.0,17.8,arizona
Gary Brightwell,SR,RB,5,13,53,4.08,0,2.6,10.6,arizona
Drew Dixon,JR,WR,2,3,46,15.33,0,1.5,23.0,arizona
Michael Wiley,SO,RB,5,8,33,4.13,0,1.6,6.6,arizona
Jalen John,FR,RB,2,3,24,8.00,0,1.5,12.0,arizona
Zach Williams,SO,TE,3,2,24,12.00,0,0.7,8.0,arizona
Thomas Reid III,SR,WR,5,1,6,6.00,0,0.2,1.2,arizona
Bryce Wolma,SR,TE,5,4,4,1.00,0,0.8,0.8,arizona
Rachaad White,JR,RB,4,8,151,18.88,1,2.0,37.8,arizona_state
Geordon Porter,SO,WR,4,5,120,24.00,1,1.3,30.0,arizona_state
LV Bunkley-Shelton,FR,WR,4,11,100,9.09,0,2.8,25.0,arizona_state
Curtis Hodges,SR,TE,3,3,98,32.67,1,1.0,32.7,arizona_state
Johnny Wilson,FR,WR,3,6,89,14.83,0,2.0,29.7,arizona_state
Ricky Pearsall,SO,WR,4,6,86,14.33,1,1.5,21.5,arizona_state
Frank Darby,SR,WR,4,6,46,7.67,1,1.5,11.5,arizona_state
Andre Johnson,FR,WR,3,1,35,35.00,0,0.3,11.7,arizona_state
Case Hatch,SO,TE,4,2,29,14.50,0,0.5,7.3,arizona_state
Daniyel Ngata,FR,RB,4,1,16,16.00,0,0.3,4.0,arizona_state
Chip Trayanum,FR,RB,4,1,5,5.00,0,0.3,1.3,arizona_state
D.J. Taylor,FR,DB,3,1,2,2.00,0,0.3,0.7,arizona_state
Treylon Burks,SO,WR,9,51,820,16.08,7,5.7,91.1,arkansas
Mike Woods,JR,WR,10,32,619,19.34,5,3.2,61.9,arkansas
De’Vion Warren,SR,WR,7,15,278,18.53,3,2.1,39.7,arkansas
Blake Kern,SR,TE,10,20,201,10.05,2,2.0,20.1,arkansas
Trelon Smith,JR,RB,10,22,159,7.23,1,2.2,15.9,arkansas
Hudson Henry,FR,TE,6,16,92,5.75,1,2.7,15.3,arkansas
Trey Knox,SO,WR,10,7,70,10.00,0,0.7,7.0,arkansas
Tyson Morris,SR,WR,10,7,67,9.57,1,0.7,6.7,arkansas
T.J. Hammonds,SR,WR,8,3,63,21.00,0,0.4,7.9,arkansas
Rakeem Boyd,SR,RB,7,10,33,3.30,0,1.4,4.7,arkansas
"Jonathan Adams, Jr.",SR,WR,10,79,1111,14.06,12,7.9,111.1,arkansas_state
Dahu Green,SR,WR,6,32,542,16.94,5,5.3,90.3,arkansas_state
Brandon Bowling,SR,WR,11,39,507,13.00,7,3.5,46.1,arkansas_state
Corey Rucker,FR,WR,8,16,453,28.31,5,2.0,56.6,arkansas_state
Jeff Foreman,SO,WR,11,13,439,33.77,3,1.2,39.9,arkansas_state
Reed Tyler,JR,TE,11,22,265,12.05,1,2.0,24.1,arkansas_state
Giles Amos,SR,TE,11,15,196,13.07,2,1.4,17.8,arkansas_state
Roshauud Paul,JR,WR,9,15,166,11.07,1,1.7,18.4,arkansas_state
Jamal Jones,SR,RB,11,16,89,5.56,0,1.5,8.1,arkansas_state
Lincoln Pare,FR,RB,9,12,85,7.08,2,1.3,9.4,arkansas_state
Bubba Ogbebor,SR,WR,8,6,71,11.83,0,0.8,8.9,arkansas_state
TW Ayers,SO,TE,11,3,21,7.00,1,0.3,1.9,arkansas_state
Ryan Graham,JR,RB,8,1,20,20.00,0,0.1,2.5,arkansas_state
Javan Hawes,JR,WR,9,2,17,8.50,0,0.2,1.9,arkansas_state
Logan Bonner,JR,QB,11,1,17,17.00,0,0.1,1.5,arkansas_state
Leroy Deshazor,JR,WR,7,1,7,7.00,0,0.1,1.0,arkansas_state
Marcel Murray,JR,RB,5,1,2,2.00,0,0.2,0.4,arkansas_state
Isaiah Azubuike,SO,RB,6,1,0,0.00,0,0.2,0.0,arkansas_state
Tyrell Robinson,FR,RB,12,6,117,19.50,2,0.5,9.8,army
Michael Roberts,JR,WR,10,7,106,15.14,1,0.7,10.6,army
Chris Cameron,JR,TE,12,3,82,27.33,0,0.3,6.8,army
