name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Haaziq Daniels,SO,QB,6,297,433,109,730,6.70,121.7,air_force
Brad Roberts,SO,RB,4,461,0,64,461,7.20,115.3,air_force
Brandon Lewis,JR,WR,5,180,0,20,180,9.00,36.0,air_force
Timothy Jackson,JR,FB,2,178,0,34,178,5.24,89.0,air_force
Warren Bryan,JR,QB,3,116,38,29,154,5.31,51.3,air_force
Kadin Remsberg,SR,RB,4,146,0,25,146,5.84,36.5,air_force
Elija Robinson,,,2,128,0,19,128,6.74,64.0,air_force
Matthew Murla,SR,FB,6,112,0,23,112,4.87,18.7,air_force
Joshua Stoner,SR,RB,5,61,0,11,61,5.55,12.2,air_force
CJ McNeal,JR,RB,3,54,0,5,54,10.80,18.0,air_force
Ben Brittain,FR,QB,2,15,31,5,46,9.20,23.0,air_force
Bo Gross,JR,FB,4,29,0,9,29,3.22,7.3,air_force
Jorden Gidrey,FR,RB,6,19,0,11,19,1.73,3.2,air_force
Ben Peterson,SR,WR,6,18,0,1,18,18.00,3.0,air_force
Jensen Jones,,,1,13,0,2,13,6.50,13.0,air_force
Micah Davis,FR,WR,4,13,0,1,13,13.00,3.3,air_force
Owen Burk,,,1,1,0,2,1,0.50,1.0,air_force
Zach Gibson,FR,QB,6,-44,784,180,740,4.11,123.3,akron
Teon Dollard,JR,RB,6,666,0,112,666,5.95,111.0,akron
Jeremiah Knight,JR,WR,6,194,0,39,194,4.97,32.3,akron
T.J. DeShields,SO,QB,2,-4,54,18,50,2.78,25.0,akron
Jonzell Norrils,FR,RB,2,30,0,7,30,4.29,15.0,akron
MyJaden Horton,FR,S,3,4,0,3,4,1.33,1.3,akron
Michael Mathison,SO,WR,4,3,0,1,3,3.00,0.8,akron
Mac Jones,JR,QB,13,14,4500,437,4514,10.33,347.2,alabama
Najee Harris,SR,RB,13,1466,0,251,1466,5.84,112.8,alabama
Brian Robinson Jr.,SR,RB,13,483,0,91,483,5.31,37.2,alabama
Jase McClellan,FR,RB,12,245,0,23,245,10.65,20.4,alabama
